"folioviv","","conex_inte","ing_cor","energia","comunica","menores"
"100414202","","2","70719","2146.93","870.96","0"
"100414203","","1","56803.75","2463.86","1515.38","0"
"100414204","","1","68020.47","2026.93","1950","0"
"100414206","","1","165339.49","3793.54","3562.25","0"
"100443401","","2","18990.06","669","290.32","0"
"100443402","","1","43260.56","780","1807.64","1"
"100443403","","2","67192.25","2478.87","1470.96","1"
"100443404","","2","59062.47","1796.12","1770.96","2"
"100443405","","1","82708.88","1260","1457.32","1"
"100446501","","2","18933.07","270","1430.32","0"
"100446503","","1","56456.69","345","3987.09","0"
"100446504","","1","48249.14","2161.93","2241.29","1"
"100446505","","2","48687.4","210","870.96","2"
"100446506","","2","34594.86","798.14","1161.29","2"
"100451302","","1","49427.36","297","1407","0"
"100451304","","1","50576.07","376.5","3691.93","7"
"100451305","","2","42031.38","108","145.16","1"
"100452901","","1","93313.42","1080","2591.61","1"
"100452902","","1","60196.61","2020.5","4219.93","1"
"100452903","","1","41958.53","1875","3290.32","0"
"100452904","","2","45553.01","1290","2951.61","0"
"100452905","","1","60909.94","2070","2881.93","2"
"100452906","","2","12563.64","720","290.32","0"
"100465001","","1","86516.09","900","2711.61","0"
"100465002","","1","89062.22","1110.96","2061.29","2"
"100465003","","1","137219.96","1335","5612.9","0"
"100465004","","1","72562.05","3090","3261.29","3"
"100465005","","2","37957.25","1183.5","1125.48","0"
"100465006","","1","46732.46","2491.93","2361.29","0"
"100471602","","1","43131.14","517.5","3300","2"
"100471603","","2","24245.89","2460","300","1"
"100471604","","2","39983.6","1050","3900","1"
"100471605","","2","34057.36","450","600","0"
"100471606","","1","43219.65","1270.5","2700","0"
"100474801","","1","118110.36","2400","2310","2"
"100474802","","1","18694.27","1800","600","0"
"100474803","","1","51016.77","300","1770","0"
"100474804","","2","55532.72","1650","3060","1"
"100474805","","2","33132.73","1275","600","0"
"100474806","","2","51068.84","2025","1950","0"
"100489701","","1","57147.51","885","1761","2"
"100489703","","2","125551.73","228","630","0"
"100489704","","1","34991.78","1650","1110","1"
"100489705","","1","141152.61","450","2640","0"
"100489706","","1","38142.84","1500","1497","0"
"100502402","","1","226735.6","2941.93","3528.29","2"
